"","CrimeDate","CrimeTime","CrimeCode","Location","Description","Inside.Outside","Weapon","Post","District","Neighborhood","Longitude","Latitude","Location.1","Premise","Total.Incidents"
"352","08/30/2017","16:28:00","6J","2500 STEELE RD","LARCENY","I","",632,"NORTHWESTERN","Cheswolde",-76.67717,39.36656,"(39.3665600000, -76.6771700000)","ROW/TOWNHO",1
"353","08/30/2017","16:17:00","6J","2400 TANEY RD","LARCENY","","",632,"NORTHWESTERN","Cheswolde",-76.67794,39.36802,"(39.3680200000, -76.6779400000)","",1
"354","08/30/2017","16:10:00","4C","2700 WEGWORTH LN","AGG. ASSAULT","O","OTHER",923,"SOUTHERN","Lakeland",-76.64233,39.25388,"(39.2538800000, -76.6423300000)","STREET",1
"355","08/30/2017","16:05:00","6C","2100 RAMSAY ST","LARCENY","I","",841,"SOUTHWESTERN","Carrollton Ridge",-76.65027,39.28299,"(39.2829900000, -76.6502700000)","OTHER - IN",1
"356","08/30/2017","16:00:00","6J","900 MCHENRY ST","LARCENY","I","",932,"SOUTHERN","Washington Village/Pigtow",-76.63209,39.28473,"(39.2847300000, -76.6320900000)","ROW/TOWNHO",1
"357","08/30/2017","15:40:00","4E","500 E BALTIMORE ST","COMMON ASSAULT","I","HANDS",111,"CENTRAL","Downtown",-76.60882,39.28981,"(39.2898100000, -76.6088200000)","POLICE DEP",1
"358","08/30/2017","15:40:00","4E","500 ISLAMIC WAY","COMMON ASSAULT","O","HANDS",123,"CENTRAL","Upton",-76.63295,39.30482,"(39.3048200000, -76.6329500000)","STREET",1
"359","08/30/2017","15:30:00","6C","2800 FOSTER AVE","LARCENY","I","",232,"SOUTHEASTERN","Canton",-76.57703,39.28416,"(39.2841600000, -76.5770300000)","DRUG STORE",1
"360","08/30/2017","15:30:00","7C","1000 HULL ST","AUTO THEFT","O","",943,"SOUTHERN","Locust Point Industrial A",-76.59066,39.27441,"(39.2744100000, -76.5906600000)","STREET",1
"361","08/30/2017","15:30:00","7C","1000 HULL ST","AUTO THEFT","O","",943,"SOUTHERN","Locust Point Industrial A",-76.59066,39.27441,"(39.2744100000, -76.5906600000)","STREET",1
"362","08/30/2017","15:26:00","8AV","4600 PARK HEIGHTS AVE","ARSON","I","",614,"NORTHWESTERN","Central Park Heights",-76.66994,39.34387,"(39.3438700000, -76.6699400000)","ROW/TOWNHO",1
"363","08/30/2017","15:25:00","6D","1300 MCCULLOH ST","LARCENY FROM AUTO","O","",132,"CENTRAL","Madison Park",-76.62792,39.30271,"(39.3027100000, -76.6279200000)","STREET",1
"364","08/30/2017","15:20:00","6J","2200 EUTAW PL","LARCENY","I","",133,"CENTRAL","Reservoir Hill",-76.63442,39.31084,"(39.3108400000, -76.6344200000)","ROW/TOWNHO",1
