"","LEA_NAME","SCH_NAME","isCHARTER","PK","KG","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","G13","LEVEL","magnetSchoolStatus","city","MEMBER","zip","PctFreeLunch","SCH_TYPE_TEXT","TOTFRL","Census_AttainDiplomHigher","Census_LangHomeNotEnglish","Census_Pop25older","Census_TotalHouseholds","LAT","LON","AttendRate","PctProfELA","raceWHITE","raceAMERIND","raceASIAN","raceBLACK","raceHI","numberHispanic","numberTR","LEAID","aun2","NCESSCH","ST_LEAID"
"645","Shikellamy SD","Shikellamy HS","No","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","199","213","168","177","-2","3","No","Sunbury","757","17801","47.424042272126819","Regular School","359","13977","621","16295","9595",40.85621,-76.789266,"91.45","64.04","646","1","1","31","62","1","15","4221540","1164966031164","422154003569","116496603"
"646","Muhlenberg SD","C E Cole Intermediate Sch","No","-2","-2","-2","-2","-2","-2","267","289","-2","-2","-2","-2","-2","-2","-2","2","No","Laureldale","556","19605","60.791366906474821","Regular School","338","14993","3992","16859","9177",40.3914,-75.91998,NA,NA,"248","0","16","35","241","0","16","4216200","1140655031140","421620006905","114065503"
"647","Parkland SD","Parkway Manor Sch","No","-2","53","57","65","75","88","80","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Allentown","418","18104","17.703349282296649","Regular School","74","41161","8298","43821","23434",40.593672,-75.550323,"96.63","84.05","260","0","85","23","35","1","14","4218510","1213951031213","421851002826","121395103"
"648","Spring-Ford Area SD","Evans El Sch","No","0","100","120","126","132","123","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Limerick","601","19468","10.8153078202995","Regular School","65","31935","3916","33365","18307",40.23166,-75.511691,"NA","NA","521","0","19","5","16","0","40","4222560","1234673031234","422256006098","123467303"
"649","Central Bucks SD","Warwick El Sch","No","-2","56","82","89","87","74","72","92","-2","-2","-2","-2","-2","-2","-2","1","No","Jamison","552","18929","11.4130434782608","Regular School","63","76834","10617","80091","41650",40.249493,-75.083359,"NA","NA","477","0","34","9","8","0","24","4205310","1220921021220","420531010004","122092102"
"650","Solanco SD","Swift MS","No","-2","-2","-2","-2","-2","-2","-2","138","128","127","-2","-2","-2","-2","-2","2","No","Quarryville","393","17566","41.984732824427482","Regular School","165","16052","6082","20529","10960",39.809821,-76.157463,"95.31","63.54","352","1","4","13","23","0","0","4221810","1133670031133","422181005054","113367003"
"651","Eastern York SD","Kreutz Creek El Sch","No","-2","74","56","61","59","64","59","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Hellam","373","17406","45.308310991957107","Regular School","169","12428","569","14478","7953",40.005051,-76.61082,"96.37","78.26","328","0","1","11","24","0","9","4208790","1126722031126","420879006285","112672203"
"652","Delaware Valley SD","Shohola El Sch","No","-2","65","71","65","71","71","76","-2","2","-2","-2","-2","-2","-2","-2","1","No","Shohola","421","18458","24.703087885985749","Regular School","104","18810","2299","20618","10463",41.377498,-74.895323,"95.98","83.41","365","0","7","5","31","0","13","4207530","1205220031205","420753003866","120522003"
"653","Southern Lehigh SD","Southern Lehigh Intermediate Sch","No","-2","-2","-2","-2","-2","230","238","265","-2","-2","-2","-2","-2","-2","-2","2","No","Bethlehem","733","18015","12.824010914051842","Regular School","94","14022","2069","14935","7687",40.54201,-75.398031,NA,NA,"644","1","36","15","30","0","7","4222350","1213957031213","422235006967","121395703"
"654","Frederick Douglass Mastery Charter School","Frederick Douglass Mastery Charter Schoo","Yes","-2","67","82","84","99","101","94","71","81","84","-2","-2","-2","-2","-2","1","No","Philadelphia","763","19144","86.238532110091739","Regular School","658",NA,NA,NA,NA,39.98462,-75.169261,NA,NA,"4","0","0","748","8","0","3","4200830","1265185471265","420083007365","126518547"
"655","Northwood Academy CS","Northwood Academy CS","Yes","-2","95","86","89","92","87","88","83","82","79","-2","-2","-2","-2","-2","1","No","Philadelphia","781","19124","64.148527528809225","Regular School","501",NA,NA,NA,NA,40.020358,-75.094499,NA,NA,"40","1","27","518","166","0","29","4200139","1265100191265","420013900894","126510019"
"656","North Central Secure Trmnt Unt","North Central Secure Trmnt Unt","No","-2","-2","-2","-2","-2","-2","-2","-2","0","0","5","14","14","16","-2","3","No","Danville","49","17821","0","Alternative Education School","0",NA,NA,NA,NA,40.95136,-76.58821,NA,NA,"4","0","0","35","10","0","0","4209933","1164799981164","420993307194","116479998"
"657","Allentown City SD","Cleveland El Sch","No","-2","-2","61","63","53","49","46","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Allentown","272","18102","69.485294117647001","Regular School","189","55393","48180","71168","40221",40.607406,-75.478899,"NA","NA","18","0","6","26","193","0","29","4202280","1213903021213","420228007117","121390302"
